Year,CONUS
1900,9.74
1901,8.29
1902,9.75
1903,9.15
1904,7.82
1905,10.32
1906,9.29
1907,8.75
1908,8.89
1909,9.22
1910,6.92
1911,8.31
1912,8.54
1913,8.57
1914,7.79
1915,9.84
1916,7.94
1917,6.8
1918,8.2
1919,9.4
1920,9.12
1921,7.93
1922,8.66
1923,9.2
1924,7.63
1925,6.88
1926,8.71
1927,8.98
1928,8.43
1929,8.73
1930,6.71
1931,7.31
1932,8.46
1933,7.49
1934,7.05
1935,8.14
1936,7.24
1937,8.47
1938,8.1
1939,7.2
1940,7.76
1941,8.36
1942,8.81
1943,7.11
1944,8.53
1945,9.48
1946,9.04
1947,8.04
1948,8.5
1949,8.18
1950,8.67
1951,8.47
1952,6.99
1953,7.67
1954,6.87
1955,7.26
1956,6.53
1957,9.41
1958,8.07
1959,8.42
1960,7.61
1961,8.79
1962,7.63
1963,6.31
1964,8.38
1965,7.96
1966,7.6
1967,7.96
1968,7.99
1969,8.61
1970,7.92
1971,8.07
1972,8.56
1973,10.31
1974,8.48
1975,9.07
1976,7.08
1977,8.51
1978,7.83
1979,9.87
1980,7.39
1981,7.82
1982,9.49
1983,9.8
1984,8.79
1985,8.61
1986,8.46
1987,7.94
1988,6.78
1989,8.62
1990,9.7
1991,9.5
1992,8.81
1993,8.97
1994,9.12
1995,9.19
1996,9.57
1997,8.84
1998,9.76
1999,8.09
2000,7.83
2001,8.67
2002,8.87
2003,8.85
2004,9.6
2005,8.06
2006,8.63
2007,8.37
2008,9.23
2009,9.91
2010,8.91
2011,9.0
2012,7.41
2013,9.67
2014,8.83
2015,10.67
2016,8.89
2017,9.48
2018,10.76
2019,10.4
2020,9.25
2021,8.81
2022,8.52
2023,8.04
2024,9.5
