Year,CONUS
1900,114.67
1901,122.09
1902,112.2
1903,117.88
1904,121.64
1905,116.23
1906,113.59
1907,119.47
1908,116.37
1909,117.63
1910,114.2
1911,117.16
1912,126.38
1913,113.68
1914,115.9
1915,117.12
1916,121.76
1917,129.25
1918,111.83
1919,117.8
1920,119.42
1921,104.41
1922,112.16
1923,117.58
1924,124.04
1925,117.17
1926,119.79
1927,107.31
1928,117.31
1929,119.23
1930,116.52
1931,105.5
1932,114.87
1933,111.22
1934,109.74
1935,115.47
1936,121.13
1937,119.01
1938,107.21
1939,114.46
1940,115.59
1941,110.91
1942,118.47
1943,122.46
1944,119.34
1945,115.1
1946,105.08
1947,122.04
1948,117.61
1949,113.91
1950,119.54
1951,122.32
1952,120.31
1953,110.06
1954,116.29
1955,120.47
1956,120.49
1957,111.71
1958,118.71
1959,121.74
1960,126.11
1961,120.13
1962,117.95
1963,117.44
1964,122.68
1965,117.73
1966,123.17
1967,119.63
1968,121.6
1969,123.69
1970,123.61
1971,119.11
1972,118.23
1973,109.34
1974,114.6
1975,120.69
1976,128.34
1977,113.87
1978,121.85
1979,122.59
1980,120.04
1981,113.8
1982,116.52
1983,114.0
1984,117.41
1985,118.19
1986,107.71
1987,112.85
1988,121.56
1989,120.84
1990,109.63
1991,112.85
1992,109.51
1993,118.07
1994,110.72
1995,113.36
1996,121.34
1997,116.02
1998,97.85
1999,110.32
2000,113.51
2001,109.9
2002,121.78
2003,111.41
2004,106.05
2005,109.55
2006,108.37
2007,112.53
2008,122.55
2009,115.49
2010,115.21
2011,115.51
2012,105.3
2013,129.38
2014,119.9
2015,105.41
2016,103.59
2017,104.71
2018,123.94
2019,120.49
2020,116.39
2021,111.41
2022,123.62
2023,108.95
2024,102.73
