Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,43.78,18.14,32.28,40.52,45.68,53.79,11.78,33.14,14.4
1901,48.08,19.14,31.57,35.67,32.59,57.0,12.38,25.83,16.83
1902,48.22,19.16,37.0,43.62,41.62,48.03,11.76,33.9,16.64
1903,45.3,19.78,32.54,40.36,38.01,51.24,11.68,33.89,14.43
1904,40.36,17.42,36.62,37.61,35.43,41.46,13.14,28.51,19.97
1905,40.66,21.6,28.0,44.45,50.77,51.01,19.99,33.68,14.97
1906,43.82,22.3,36.34,43.39,42.46,54.22,18.76,31.4,23.86
1907,45.59,17.69,35.75,46.15,41.43,49.46,15.81,28.05,21.45
1908,38.31,21.18,28.0,39.92,44.95,51.24,15.69,30.11,13.2
1909,40.41,20.61,37.42,46.66,38.64,47.76,16.32,32.86,24.05
1910,38.37,14.4,32.33,40.29,33.05,46.44,11.26,20.15,11.3
1911,41.87,18.31,27.52,44.22,41.57,45.95,16.58,32.16,16.97
1912,43.73,19.65,35.93,43.16,42.04,56.65,14.86,28.53,13.98
1913,41.66,17.16,31.39,43.9,43.94,48.52,14.21,29.1,17.22
1914,36.32,18.36,30.41,36.66,37.53,45.09,17.46,30.14,18.12
1915,43.14,25.03,32.51,46.57,45.82,49.94,16.71,32.39,18.37
1916,41.43,19.17,35.13,42.64,36.48,45.98,16.63,30.86,18.85
1917,41.61,16.08,32.44,40.26,30.26,46.7,11.86,25.36,11.58
1918,40.5,18.72,29.29,41.44,38.7,48.56,15.65,28.8,16.46
1919,46.12,16.99,31.28,45.44,48.92,51.96,16.54,31.83,13.28
1920,48.58,19.19,33.14,42.28,45.34,55.85,15.28,28.85,17.07
1921,38.49,18.37,36.01,45.68,37.1,41.9,16.1,29.38,16.04
1922,42.02,19.06,28.32,41.95,43.13,55.65,13.26,28.92,18.03
1923,41.61,21.76,31.23,45.66,52.28,49.1,17.48,26.07,11.96
1924,40.9,17.52,26.71,41.31,30.91,53.73,10.79,29.24,10.81
1925,41.21,17.78,30.15,37.73,36.12,41.41,14.02,26.2,16.04
1926,41.8,17.44,30.78,46.9,44.27,49.86,15.38,31.34,16.34
1927,46.5,23.0,37.24,50.79,45.34,42.96,16.48,29.13,17.67
1928,42.32,17.97,26.08,42.73,41.83,56.48,13.26,32.02,11.79
1929,42.03,18.39,22.55,48.26,43.21,62.26,14.35,27.33,9.88
1930,32.53,18.24,24.14,29.96,38.16,42.79,14.92,24.24,13.71
1931,40.08,14.81,30.36,40.41,39.43,40.02,15.24,29.21,16.13
1932,44.79,18.3,34.06,44.12,44.66,53.96,14.48,28.08,12.22
1933,45.4,16.27,35.61,43.16,38.15,43.17,12.92,25.32,13.06
1934,43.51,12.56,30.87,35.6,37.32,49.79,10.22,25.91,12.93
1935,42.0,16.94,23.94,47.07,43.64,47.05,14.51,29.45,15.36
1936,48.52,12.84,28.49,36.5,31.99,55.68,14.71,24.09,17.86
1937,48.43,17.23,38.16,45.69,40.02,54.14,14.08,27.87,18.77
1938,48.58,18.44,30.38,43.11,38.7,44.09,15.2,34.33,20.92
1939,40.19,14.67,25.56,41.74,37.16,49.78,11.86,25.68,12.43
1940,43.72,17.19,35.32,37.01,44.48,47.21,15.99,30.0,22.16
1941,33.74,22.12,33.93,36.12,45.57,43.88,23.05,32.92,25.6
1942,46.11,21.12,33.9,44.91,42.4,50.85,13.44,32.74,15.66
1943,39.18,17.42,27.5,37.89,33.46,44.43,12.92,29.83,17.15
1944,41.51,21.87,25.15,39.98,47.16,52.56,14.26,31.08,15.95
1945,50.26,18.56,36.99,49.95,47.92,53.64,13.43,32.92,19.98
1946,39.33,21.09,33.97,41.6,48.7,50.49,14.57,30.05,14.14
1947,41.62,19.37,31.63,40.24,40.64,57.42,13.58,30.45,10.2
1948,46.64,18.99,39.99,45.74,41.63,60.43,13.09,25.9,13.97
1949,37.48,18.22,27.82,46.51,47.32,50.85,15.56,28.83,12.12
1950,42.51,19.01,40.9,51.89,44.26,45.71,10.39,30.18,17.49
1951,46.96,21.12,35.55,48.56,41.76,44.68,14.54,37.02,16.74
1952,45.6,14.3,24.3,38.09,32.47,47.03,13.57,27.67,19.73
1953,47.14,19.19,38.59,33.19,40.13,52.28,11.17,28.82,11.77
1954,47.64,17.08,32.15,39.99,29.55,37.51,12.11,32.67,15.58
1955,43.91,17.33,37.39,40.06,37.3,44.2,12.22,25.98,16.74
1956,43.69,15.73,33.23,41.57,32.09,45.96,8.6,26.0,12.81
1957,36.19,21.22,33.01,49.41,53.4,53.91,18.6,30.17,18.16
1958,47.56,17.04,35.5,41.74,44.25,49.15,14.22,24.04,18.71
1959,45.04,17.73,32.18,42.01,43.56,56.94,13.79,34.39,10.94
1960,43.65,16.31,32.76,36.76,39.68,50.28,12.76,30.82,15.28
1961,42.19,16.6,35.82,47.06,50.39,53.16,14.49,30.72,12.35
1962,41.03,21.73,31.35,41.0,36.96,49.14,12.27,28.71,15.5
1963,36.33,18.71,32.57,32.33,29.83,45.33,12.73,24.93,18.34
1964,35.59,19.19,38.26,41.34,41.09,61.22,12.4,28.88,16.03
1965,31.46,21.7,29.17,40.79,37.45,46.21,18.54,36.52,17.1
1966,37.78,16.69,30.4,39.69,38.22,51.04,12.09,26.61,12.74
1967,43.6,18.78,32.05,43.57,39.94,47.73,14.93,29.16,17.46
1968,40.22,19.86,37.15,40.79,45.02,43.43,13.01,34.83,15.14
1969,45.77,17.68,30.21,42.03,40.18,50.79,16.61,29.94,21.57
1970,40.65,18.81,36.53,43.13,38.71,46.88,12.99,31.51,19.33
1971,43.23,20.4,38.42,39.34,40.95,54.73,13.9,30.23,14.66
1972,54.73,19.66,36.29,48.89,41.78,52.96,14.7,33.78,12.99
1973,49.68,20.02,33.53,50.99,56.18,55.79,13.85,34.93,19.83
1974,43.43,15.17,33.97,46.96,48.44,50.32,12.54,29.25,14.66
1975,51.39,20.51,38.81,48.65,46.3,59.85,13.33,31.79,15.78
1976,44.48,14.73,25.38,36.52,36.52,50.35,11.68,22.11,10.82
1977,48.58,21.91,32.39,44.79,42.07,47.8,12.64,35.17,13.71
1978,42.77,20.09,29.41,43.42,37.88,46.64,17.89,31.58,21.34
1979,51.87,16.97,30.24,50.34,50.41,58.98,14.43,31.87,17.23
1980,37.21,16.88,35.46,37.73,38.82,46.69,15.23,29.04,18.55
1981,42.09,18.65,35.99,42.61,38.06,41.59,15.43,30.8,18.48
