Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1930,0.77,-999,-999,0.93,1.57,0.0,0.17,0.17,0.11,0.0,1.92,0.41,0.28,0.0,0.11,0.04,0.34,0.0,1.47,0.07,0.0,0.26,0.0,0.03,0.07,1.22,0.0,0.1,0.0,0.11,0.06,0.0,0.02,0.0,0.04,0.0,0.68,0.1,0.01,-999.0,0.0,0.09,0.35,0.47,0.0,0.04,0.0,0.07,0.07,0.0,0.0
1931,0.78,-999,-999,0.53,0.96,0.02,0.36,0.03,0.11,0.51,1.08,0.41,0.41,0.0,0.47,0.47,0.46,0.12,1.46,0.61,0.0,0.0,0.1,0.03,0.51,0.8,0.0,0.5,0.08,0.02,0.48,0.08,0.0,0.12,0.01,0.04,0.63,0.34,0.11,-999.0,0.25,0.1,0.28,0.26,0.0,0.11,0.0,0.62,0.13,0.0,0.0
1932,1.71,-999,-999,1.27,1.06,0.0,0.09,0.03,0.11,0.0,0.8,1.1,0.23,0.0,0.25,0.76,0.28,0.93,2.26,0.87,0.0,0.86,0.07,0.05,0.31,1.99,0.0,1.06,0.13,0.12,1.55,0.35,0.1,0.0,0.32,0.09,0.68,0.21,0.15,-999.0,1.5,0.05,0.88,0.74,0.1,0.31,0.14,0.96,0.11,0.12,0.0
1933,1.63,-999,-999,0.97,1.14,0.0,0.41,0.03,0.02,1.51,1.4,0.7,0.29,0.0,0.3,0.2,0.34,0.67,2.09,0.62,1.72,0.13,0.17,0.2,0.44,0.93,0.04,0.26,0.0,0.2,0.48,0.91,0.08,0.0,0.2,0.19,0.87,0.69,0.32,-999.0,0.46,0.25,0.76,0.42,0.0,0.46,0.0,0.93,0.08,0.08,0.14
1934,2.33,-999,-999,1.86,0.98,0.0,0.17,0.03,0.23,1.01,1.64,0.71,0.19,0.0,0.24,0.23,0.11,0.2,1.79,0.28,0.43,0.37,0.09,0.02,0.37,1.63,0.0,0.68,0.0,0.01,0.17,0.33,0.02,0.0,0.12,0.14,0.64,0.1,0.41,-999.0,0.84,0.06,0.38,0.43,0.0,0.4,0.0,0.24,0.21,0.01,0.0
1935,2.66,-999,-999,0.7,1.42,0.0,0.1,0.0,0.02,1.51,0.85,0.4,0.42,0.0,0.25,0.19,0.42,0.92,1.67,0.16,0.87,0.0,0.07,0.09,0.64,1.16,0.03,0.38,0.1,0.2,0.06,0.84,0.0,0.0,0.53,0.42,0.9,0.15,0.23,-999.0,0.54,0.02,0.53,0.9,0.0,0.41,0.0,0.93,0.13,0.24,0.0
1936,0.61,-999,-999,2.4,0.82,0.0,0.29,0.14,1.19,0.94,1.22,1.87,0.14,0.0,0.19,0.26,0.18,0.51,0.83,0.68,0.87,0.25,0.05,0.04,0.59,0.33,0.0,1.29,0.0,0.06,0.06,0.39,0.1,0.0,0.04,0.02,0.51,0.26,0.11,-999.0,1.24,0.02,1.35,0.82,0.0,0.72,0.0,0.35,0.02,0.32,0.0
1937,2.7,-999,-999,1.2,1.25,0.02,0.73,0.0,0.58,0.0,2.46,0.77,0.27,0.0,0.39,0.77,0.21,0.57,0.94,0.51,1.02,0.6,0.12,0.23,0.45,0.36,0.0,0.43,0.07,0.15,0.62,0.3,0.09,0.0,0.14,0.29,0.34,0.44,0.36,-999.0,0.62,0.14,1.26,0.54,0.0,0.7,0.0,1.03,0.18,0.26,0.0
1938,1.58,-999,-999,1.82,2.03,0.02,0.49,0.31,2.54,1.0,0.38,0.55,0.35,0.0,0.27,0.39,0.59,0.56,1.43,1.26,0.59,0.2,0.08,0.14,0.38,0.98,0.06,0.55,0.02,0.11,0.7,1.64,0.0,0.0,0.17,0.13,0.7,0.24,0.17,-999.0,0.22,0.03,0.61,0.54,0.04,0.46,0.13,0.27,0.57,0.0,0.0
1939,1.72,-999,-999,1.18,0.98,0.04,0.31,0.0,0.25,1.51,0.75,0.55,0.13,0.0,0.37,0.23,0.13,0.22,0.96,0.1,0.43,0.05,0.11,0.1,0.29,0.71,0.0,0.53,0.12,0.09,0.03,0.64,0.0,0.13,0.01,0.27,0.32,0.18,0.15,-999.0,0.66,0.12,0.32,0.32,0.0,0.58,0.0,0.37,0.14,0.0,0.0
