Year,CONUS
1930,0.11
1931,0.1
1932,0.18
1933,0.16
1934,0.11
1935,0.16
1936,0.15
1937,0.14
1938,0.14
1939,0.09
1940,0.17
1941,0.16
1942,0.18
1943,0.15
1944,0.16
1945,0.19
1946,0.18
1947,0.14
1948,0.16
1949,0.17
1950,0.15
1951,0.14
1952,0.1
1953,0.16
1954,0.12
1955,0.18
1956,0.12
1957,0.21
1958,0.12
1959,0.14
1960,0.15
1961,0.22
1962,0.11
1963,0.1
1964,0.21
1965,0.15
1966,0.15
1967,0.15
1968,0.12
1969,0.2
1970,0.12
1971,0.13
1972,0.15
1973,0.28
1974,0.17
1975,0.19
1976,0.1
1977,0.15
1978,0.16
1979,0.27
1980,0.17
1981,0.18
1982,0.22
1983,0.18
1984,0.12
1985,0.19
1986,0.2
1987,0.12
1988,0.08
1989,0.18
1990,0.21
1991,0.2
1992,0.13
1993,0.2
1994,0.2
1995,0.21
1996,0.2
1997,0.19
1998,0.28
1999,0.18
2000,0.12
2001,0.19
2002,0.22
2003,0.17
2004,0.26
2005,0.21
2006,0.17
2007,0.18
2008,0.27
2009,0.2
2010,0.23
2011,0.22
2012,0.18
2013,0.19
2014,0.18
2015,0.28
2016,0.27
2017,0.31
2018,0.24
2019,0.19
2020,0.2
2021,0.22
2022,0.1
2023,0.15
2024,0.26
