Year,CONUS
1900,114.61
1901,109.0
1902,101.84
1903,95.86
1904,103.84
1905,108.12
1906,112.53
1907,100.37
1908,117.1
1909,110.75
1910,119.65
1911,117.69
1912,102.49
1913,112.57
1914,114.89
1915,101.48
1916,111.23
1917,104.8
1918,112.93
1919,115.82
1920,107.06
1921,124.56
1922,121.22
1923,103.62
1924,102.47
1925,116.28
1926,111.61
1927,110.47
1928,106.0
1929,110.07
1930,118.23
1931,123.13
1932,116.79
1933,123.65
1934,129.32
1935,110.78
1936,126.54
1937,115.59
1938,124.77
1939,130.72
1940,115.21
1941,117.58
1942,113.08
1943,116.83
1944,116.2
1945,109.76
1946,110.79
1947,114.97
1948,116.47
1949,117.24
1950,108.43
1951,105.25
1952,119.99
1953,121.62
1954,117.56
1955,123.3
1956,120.17
1957,106.15
1958,109.96
1959,119.64
1960,113.83
1961,111.31
1962,116.35
1963,124.1
1964,110.05
1965,108.66
1966,111.05
1967,109.09
1968,104.93
1969,109.94
1970,117.08
1971,113.25
1972,109.11
1973,109.61
1974,107.38
1975,110.3
1976,108.51
1977,117.53
1978,114.4
1979,108.14
1980,114.48
1981,108.55
1982,104.11
1983,108.37
1984,110.2
1985,109.06
1986,111.33
1987,117.38
1988,118.77
1989,110.81
1990,109.71
1991,118.61
1992,95.92
1993,95.61
1994,110.21
1995,106.87
1996,105.59
1997,101.33
1998,115.27
1999,108.53
2000,110.23
2001,113.69
2002,115.17
2003,110.09
2004,105.33
2005,114.04
2006,113.62
2007,122.53
2008,105.95
2009,95.87
2010,116.13
2011,113.48
2012,125.23
2013,105.45
2014,105.04
2015,113.45
2016,118.54
2017,115.1
2018,117.14
2019,107.24
2020,113.78
2021,116.3
2022,118.67
2023,116.68
2024,119.96
