Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1950,0.73,-999,-999,0.91,1.22,0.02,0.76,0.0,0.45,0.32,1.26,0.74,0.44,0.0,0.46,0.64,0.46,0.47,1.78,0.47,0.49,0.27,0.15,0.16,0.65,1.32,0.0,0.63,0.05,0.26,0.74,0.5,0.05,0.19,0.08,0.11,1.17,0.66,0.55,0.0,0.41,0.04,0.36,-999,0.0,0.41,0.11,0.15,0.24,0.13,0.0
1951,0.86,-999,-999,1.31,0.65,0.17,0.42,0.18,0.01,0.01,1.43,0.44,0.34,0.0,0.53,0.15,1.03,0.48,1.12,0.07,0.27,0.4,0.04,0.17,0.43,1.81,0.01,0.46,0.1,0.16,0.19,0.32,0.02,0.0,0.12,0.02,0.68,0.23,0.0,0.0,0.18,0.09,0.81,-999,0.0,0.26,0.07,0.53,0.2,0.06,0.0
1952,1.68,-999,-999,0.81,1.01,0.0,0.57,0.03,1.17,1.03,1.02,0.61,0.37,0.0,0.16,0.31,0.09,0.54,1.25,0.3,0.71,0.13,0.13,0.27,0.22,0.29,0.0,0.68,0.12,0.21,0.3,0.76,0.02,0.0,0.48,0.16,0.25,0.1,0.36,0.46,0.55,0.05,0.41,-999,0.0,0.43,0.29,0.05,0.21,0.0,0.07
1953,0.93,-999,-999,1.04,0.76,0.0,0.25,0.0,0.21,0.01,1.98,0.85,0.25,0.0,0.11,0.22,0.14,0.05,3.14,0.27,0.58,0.0,0.15,0.44,0.04,1.41,0.01,0.8,0.14,0.1,0.09,0.2,0.0,0.0,0.11,0.06,0.72,0.55,0.19,1.89,0.68,0.17,0.22,-999,0.01,0.25,0.0,0.33,0.28,0.0,0.0
1954,1.01,-999,-999,0.45,0.63,0.09,0.41,0.02,1.11,0.01,1.31,0.37,0.68,0.0,0.54,0.3,0.12,0.17,1.09,1.24,0.17,0.89,0.25,0.23,0.11,0.72,0.0,0.77,0.01,0.16,1.86,0.53,0.13,0.0,0.15,0.32,0.44,0.22,0.46,0.95,0.62,0.12,0.88,-999,0.0,0.61,0.0,0.33,0.25,0.86,0.0
1955,1.47,-999,-999,0.98,0.83,0.04,0.88,0.06,2.97,0.32,0.5,0.37,0.17,0.0,0.28,0.4,0.26,0.35,2.88,1.35,1.43,0.11,0.15,0.28,0.5,1.45,0.04,1.42,0.07,0.1,0.22,1.54,0.23,0.19,0.43,0.14,0.81,0.6,0.53,1.42,0.55,0.08,0.55,-999,0.01,0.98,0.14,0.41,0.1,0.03,0.0
1956,1.38,-999,-999,1.33,0.58,0.0,0.39,0.0,0.01,0.62,1.26,0.83,0.12,0.0,0.31,0.27,0.06,0.44,1.27,0.3,0.79,0.0,0.07,0.17,0.46,1.29,0.0,0.67,0.15,0.08,0.03,0.25,0.0,0.0,0.11,0.01,0.19,0.29,0.13,0.0,0.48,0.07,1.15,-999,0.0,0.52,0.13,0.21,0.1,0.1,0.0
1957,1.25,-999,-999,1.28,2.32,0.0,0.38,0.07,0.01,0.01,1.27,0.81,0.19,0.0,0.6,0.39,0.39,0.66,1.69,0.05,0.0,0.0,0.15,0.3,0.8,1.6,0.0,0.63,0.34,0.21,0.03,0.18,0.04,0.0,0.07,0.16,1.26,0.24,0.04,0.0,0.52,0.06,0.98,-999,0.01,0.44,0.0,0.17,0.11,0.03,0.0
1958,1.58,-999,-999,0.6,1.45,0.09,0.39,0.03,0.01,0.64,1.27,0.44,0.34,0.0,0.41,0.54,0.49,0.26,1.21,0.08,0.79,0.19,0.03,0.19,1.13,1.06,0.01,0.9,0.08,0.22,0.09,0.85,0.11,0.0,0.01,0.1,0.51,0.2,0.08,0.32,0.51,0.04,0.2,-999,0.0,0.57,0.0,0.24,0.18,0.05,0.0
1959,2.01,-999,-999,0.35,0.75,0.04,0.42,0.01,0.5,0.71,1.97,1.1,0.41,0.0,0.32,0.47,0.39,0.18,1.18,0.4,0.51,0.05,0.22,0.34,0.22,1.14,0.01,0.79,0.05,0.09,0.58,0.5,0.04,0.0,0.21,0.27,1.14,0.27,0.15,0.0,1.7,0.03,0.25,-999,0.0,0.66,0.0,0.71,0.31,0.02,0.0
