Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1980,11.48,4.67,8.59,10.13,20.41,14.64,4.31,4.77,4.95
1981,8.62,5.92,8.6,12.82,10.93,8.7,4.44,6.61,5.27
1982,8.89,7.12,8.01,11.29,13.1,9.94,3.42,7.91,7.03
1983,17.19,5.63,9.8,15.36,18.06,15.69,4.69,8.13,9.33
1984,15.39,6.04,10.19,14.34,15.03,16.37,3.03,6.95,2.88
1985,8.57,4.96,6.2,11.31,10.18,6.41,4.27,8.98,2.81
1986,8.69,6.74,7.58,9.04,10.03,6.64,3.57,7.41,5.01
1987,9.76,6.08,7.65,8.69,10.85,11.39,3.43,5.66,4.57
1988,8.64,4.86,9.2,7.85,10.37,9.23,3.36,4.88,3.62
1989,13.16,5.14,9.81,11.84,13.07,14.69,1.84,6.93,5.04
1990,12.15,5.66,7.84,14.14,15.57,12.45,3.38,8.29,4.14
1991,10.82,7.62,10.64,12.24,20.95,13.21,3.48,10.55,8.12
1992,9.21,4.24,4.88,9.17,9.89,11.2,4.63,6.09,3.89
1993,12.06,5.69,11.08,11.38,13.87,13.76,3.14,8.48,4.46
1994,12.42,3.81,6.33,12.32,13.6,11.51,3.74,6.1,3.72
1995,7.57,8.18,10.12,14.78,14.46,8.04,5.16,7.68,10.9
1996,12.73,6.48,10.13,15.53,12.4,11.74,2.1,6.18,5.26
1997,10.39,5.25,9.97,12.62,14.94,10.5,3.16,5.8,1.84
1998,11.89,5.14,9.94,13.88,12.48,15.33,3.32,8.02,7.74
1999,9.26,6.51,6.71,10.75,12.06,9.11,4.33,8.62,3.84
2000,13.52,5.29,7.07,10.09,11.56,10.33,2.9,7.49,3.86
2001,9.46,4.94,6.55,9.66,12.6,10.39,3.44,9.66,3.39
2002,12.65,4.21,7.2,16.6,12.63,9.99,1.25,8.05,2.73
2003,10.52,6.26,10.3,11.88,13.7,18.51,2.76,7.99,6.01
2004,11.7,5.29,6.66,14.1,11.04,8.73,3.25,10.72,2.11
2005,11.7,6.24,10.53,8.3,11.79,10.75,3.6,5.75,6.61
2006,9.2,4.88,8.2,11.64,9.55,7.31,2.45,8.08,7.73
2007,11.85,7.67,5.9,9.83,8.17,7.99,3.22,7.61,2.1
2008,11.31,6.24,6.85,15.95,13.84,11.6,1.92,7.69,1.54
2009,10.55,5.07,8.64,14.22,17.9,13.7,2.9,7.52,3.35
2010,10.25,6.92,9.82,12.38,11.76,9.81,3.1,5.93,5.31
2011,16.72,8.7,13.31,18.63,13.03,12.49,3.1,9.48,7.05
2012,9.71,5.22,11.48,9.43,11.22,12.31,1.73,9.27,5.18
2013,9.37,6.87,7.13,13.71,13.51,11.5,2.05,10.44,2.24
2014,11.74,5.21,10.13,10.97,14.88,12.73,2.6,8.8,3.78
2015,8.11,6.15,6.45,13.3,17.17,10.12,4.8,7.63,2.94
2016,8.33,7.36,8.51,11.99,14.81,10.69,3.31,8.08,5.7
2017,13.74,5.67,11.64,16.22,14.74,15.11,3.1,9.15,4.46
2018,11.06,6.0,8.4,11.59,13.64,15.08,2.02,6.92,6.29
2019,12.75,7.28,7.99,15.35,15.02,10.3,4.66,9.58,7.02
2020,10.43,4.38,6.73,14.87,15.83,15.37,2.49,7.45,4.81
2021,9.04,4.88,3.82,12.04,15.74,8.23,2.77,6.13,2.07
2022,11.23,6.05,9.54,12.81,14.68,11.51,1.74,10.14,2.49
2023,9.18,5.15,8.62,10.05,13.22,11.06,3.68,7.49,6.81
2024,13.8,6.52,7.35,13.85,15.97,13.36,3.03,10.37,4.7
