Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1900,-999.0,-999.0,-999.0,30.2,75.13,-999.0,-999.0,40.09,-999.0,-999.0,82.46,60.01,25.84,21.45,35.4,31.38,60.91,46.62,75.24,-999.0,-999.0,8.82,14.2,7.48,45.79,63.74,19.61,56.73,-999,45.7,-999.0,22.3,-999.0,-999.0,7.39,24.41,-999.0,11.94,12.06,-999.0,59.93,30.48,35.0,89.47,52.41,35.83,-999.0,10.17,14.58,49.09,-999.0
1901,-999.0,-999.0,-999.0,49.68,91.03,-999.0,-999.0,38.01,-999.0,-999.0,58.55,36.65,46.48,25.43,51.37,43.22,78.13,45.55,80.84,-999.0,-999.0,7.34,15.67,15.63,74.23,70.48,17.75,30.2,-999,52.57,-999.0,13.01,81.0,-999.0,6.2,21.91,-999.0,21.09,6.23,-999.0,34.9,32.76,41.49,99.12,54.45,11.61,-999.0,9.67,25.8,22.47,-999.0
1902,-999.0,-999.0,-999.0,73.27,66.17,-999.0,-999.0,32.13,-999.0,-999.0,80.82,80.35,6.08,21.42,17.71,18.62,44.09,41.94,95.5,-999.0,-999.0,0.82,2.03,1.95,26.57,80.86,5.99,41.56,-999,18.41,-999.0,5.87,140.84,-999.0,0.64,13.9,-999.0,21.21,0.69,-999.0,55.95,11.98,42.29,98.99,47.4,17.39,-999.0,5.93,2.17,8.18,-999.0
1903,-999.0,-999.0,-999.0,50.87,50.86,-999.0,-999.0,25.01,-999.0,-999.0,48.84,48.85,8.16,8.79,17.92,21.46,43.65,31.33,67.14,-999.0,-999.0,1.32,2.71,0.53,20.43,65.26,5.26,28.36,-999,16.22,-999.0,8.32,105.55,-999.0,1.56,16.93,57.0,9.11,1.09,-999.0,42.86,10.33,37.58,70.19,45.04,9.28,-999.0,5.51,1.93,7.08,-999.0
1904,-999.0,-999.0,-999.0,66.26,57.73,-999.0,-999.0,13.24,-999.0,-999.0,62.14,66.3,5.56,19.62,7.61,10.14,32.81,24.12,78.07,-999.0,-999.0,0.75,2.45,1.49,12.37,74.11,6.62,27.29,-999,15.4,-999.0,6.23,95.58,-999.0,1.34,6.64,65.0,23.78,0.81,-999.0,43.18,12.98,28.24,88.21,48.45,8.74,-999.0,17.29,2.36,3.0,-999.0
1905,-999.0,-999.0,-999.0,49.23,53.9,-999.0,-999.0,25.37,-999.0,-999.0,74.5,67.8,13.25,22.84,19.96,10.39,49.46,22.52,86.51,-999.0,-999.0,1.5,2.71,3.89,19.41,62.42,10.47,26.8,-999,21.1,-999.0,8.41,63.5,-999.0,1.8,7.93,70.0,18.09,2.03,-999.0,41.38,14.92,24.61,89.92,52.28,9.27,-999.0,11.32,3.87,11.31,-999.0
1906,-999.0,-999.0,-999.0,44.75,62.42,-999.0,-999.0,18.08,-999.0,-999.0,63.57,62.93,17.43,23.02,29.06,18.67,36.5,22.54,93.8,-999.0,-999.0,2.26,6.11,5.05,21.83,68.95,14.62,29.52,-999,24.76,-999.0,8.43,61.96,-999.0,1.88,12.88,-999.0,26.93,3.23,-999.0,41.99,15.85,26.37,81.94,40.85,14.86,-999.0,21.34,5.02,12.2,-999.0
1907,-999.0,-999.0,-999.0,54.85,70.44,-999.0,-999.0,26.35,-999.0,-999.0,78.49,63.45,9.29,14.37,15.3,9.18,57.89,26.06,89.4,-999.0,-999.0,2.51,1.71,1.46,29.96,72.06,5.18,29.81,-999,33.82,-999.0,5.79,52.93,-999.0,1.79,4.04,-999.0,10.13,1.35,-999.0,46.87,9.94,39.95,97.67,28.77,9.66,-999.0,9.16,1.49,4.29,-999.0
1908,-999.0,-999.0,-999.0,58.26,61.17,-999.0,-999.0,25.79,-999.0,-999.0,67.34,64.02,13.11,26.09,33.15,39.3,44.78,33.76,74.05,-999.0,-999.0,5.24,8.31,5.99,32.22,64.28,16.93,29.05,-999,28.68,-999.0,14.35,59.59,-999.0,5.12,24.48,71.0,26.86,4.05,-999.0,39.5,20.27,34.33,85.17,35.25,16.47,-999.0,23.66,8.79,28.1,-999.0
1909,-999.0,-999.0,-999.0,54.08,80.27,-999.0,-999.0,27.82,-999.0,-999.0,64.75,49.55,16.58,24.99,25.94,15.4,54.81,24.31,87.7,-999.0,-999.0,4.49,5.28,4.78,43.48,76.2,12.23,23.89,-999,33.33,-999.0,13.37,65.06,-999.0,2.33,5.32,100.0,10.29,2.55,-999.0,35.32,21.92,34.96,105.23,35.96,11.22,-999.0,10.09,8.96,9.83,-999.0
1910,-999.0,-999.0,-999.0,35.71,53.5,-999.0,-999.0,34.59,-999.0,31.0,50.67,53.14,26.53,19.27,24.41,17.22,57.95,16.93,84.54,-999.0,-999.0,1.99,7.14,18.23,24.75,62.92,17.1,26.28,-999,39.89,-999.0,13.22,81.35,-999.0,2.27,14.34,107.16,15.31,1.34,-999.0,35.14,31.84,17.03,111.81,51.56,10.82,-999.0,14.06,22.14,10.58,-999.0
1911,-999.0,-999.0,-999.0,74.01,76.44,-999.0,-999.0,29.76,-999.0,25.0,73.27,87.94,37.33,14.55,41.48,40.71,79.8,44.3,102.68,-999.0,-999.0,14.26,13.02,13.04,59.98,85.25,7.37,50.1,-999,47.53,-999.0,16.35,57.44,-999.0,11.61,29.69,111.55,16.66,14.66,-999.0,74.26,29.96,50.42,117.84,39.64,34.62,-999.0,17.37,15.92,35.07,-999.0
1912,-999.0,-999.0,-999.0,47.9,68.77,-999.0,-999.0,16.26,-999.0,21.0,63.37,56.55,20.7,11.88,23.96,17.33,54.35,23.67,85.58,-999.0,-999.0,8.24,3.01,6.68,40.82,61.64,6.15,32.06,-999,35.79,-999.0,12.07,59.28,-999.0,4.4,9.54,83.3,10.46,2.7,-999.0,46.52,18.96,27.43,101.8,27.07,16.67,-999.0,13.5,7.95,13.75,-999.0
1913,-999.0,-999.0,-999.0,65.19,82.31,-999.0,-999.0,30.07,-999.0,20.0,57.5,66.05,43.05,18.79,57.01,52.4,81.2,66.7,68.44,-999.0,-999.0,4.5,11.15,9.85,72.47,73.53,9.79,37.05,-999,60.09,-999.0,12.75,74.91,-999.0,4.97,29.35,93.7,12.5,11.5,-999.0,54.48,34.21,66.02,87.74,30.6,16.83,-999.0,15.93,13.9,25.99,-999.0
1914,-999.0,-999.0,-999.0,63.88,82.43,-999.0,-999.0,22.4,-999.0,42.0,78.71,71.58,30.71,29.27,50.41,47.15,67.05,57.41,92.28,-999.0,-999.0,1.98,8.09,8.3,64.38,83.03,16.84,45.34,-999,41.71,-999.0,16.89,61.62,-999.0,2.6,32.69,93.46,19.18,10.91,-999.0,68.03,29.68,65.03,85.29,31.97,27.65,-999.0,16.29,8.24,28.33,-999.0
1915,-999.0,-999.0,-999.0,60.46,52.56,-999.0,-999.0,11.8,-999.0,15.0,85.03,72.55,1.32,26.85,6.15,8.17,14.59,19.05,89.16,-999.0,-999.0,0.0,0.11,0.22,13.96,74.27,4.43,38.13,-999,8.21,-999.0,11.4,55.33,-999.0,0.92,4.15,44.62,21.41,1.3,-999.0,58.96,1.52,37.22,80.28,24.46,16.39,-999.0,21.38,0.53,9.49,-999.0
1916,-999.0,-999.0,-999.0,46.63,82.49,-999.0,-999.0,26.32,-999.0,-999.0,57.53,53.51,35.07,19.74,43.66,36.45,66.65,31.8,91.13,-999.0,-999.0,5.5,18.54,12.06,53.64,66.14,9.74,22.81,-999,47.28,-999.0,10.68,73.63,-999.0,7.93,26.62,99.16,12.83,11.17,-999.0,37.25,26.94,38.99,104.23,15.3,6.8,-999.0,11.55,18.97,19.54,-999.0
1917,-999.0,-999.0,-999.0,42.53,57.6,-999.0,-999.0,27.67,-999.0,-999.0,55.76,60.41,12.97,30.25,16.9,15.18,50.52,17.35,78.28,-999.0,-999.0,4.98,4.59,6.26,31.07,61.75,19.11,29.2,-999,33.33,-999.0,8.52,69.77,-999.0,4.22,8.82,81.93,21.72,5.05,-999.0,47.86,23.39,24.39,102.19,35.69,10.45,-999.0,19.75,6.46,27.62,-999.0
1918,-999.0,-999.0,-999.0,52.95,88.81,-999.0,-999.0,27.33,-999.0,-999.0,63.33,62.48,24.27,26.13,30.2,26.93,67.58,38.24,94.67,-999.0,-999.0,3.75,10.57,5.14,51.26,78.16,12.58,31.37,-999,45.98,-999.0,14.18,66.97,-999.0,7.75,20.43,105.01,19.81,10.34,-999.0,45.44,18.4,49.31,108.83,32.4,15.04,-999.0,16.98,8.28,25.59,-999.0
1919,-999.0,-999.0,-999.0,40.27,74.75,-999.0,-999.0,34.25,-999.0,-999.0,79.58,55.41,22.87,38.02,41.09,40.41,61.71,43.13,68.7,-999.0,-999.0,9.24,10.92,4.09,42.86,61.38,30.36,36.39,-999,42.43,-999.0,11.8,39.17,-999.0,7.83,25.26,77.6,24.47,10.62,-999.0,36.13,25.31,52.79,55.34,51.91,14.28,-999.0,18.65,10.4,27.44,-999.0
1920,-999.0,-999.0,-999.0,27.15,53.54,-999.0,-999.0,18.48,-999.0,6.0,65.91,51.83,13.72,26.11,27.56,15.18,42.46,14.27,82.79,-999.0,-999.0,2.5,2.46,4.19,25.56,58.26,16.69,23.2,-999,32.51,-999.0,2.96,55.26,-999.0,0.83,8.0,52.16,19.82,0.42,-999.0,36.59,18.01,29.18,81.98,37.2,4.91,-999.0,22.7,5.63,12.88,-999.0
1921,-999.0,-999.0,-999.0,81.6,95.54,-999.0,-999.0,24.31,-999.0,41.0,80.57,83.97,30.45,18.54,48.32,39.77,60.21,47.96,100.41,-999.0,-999.0,8.5,12.89,17.92,46.02,95.8,18.62,45.83,-999,48.46,-999.0,14.67,49.32,-999.0,8.47,26.7,93.0,13.15,9.45,-999.0,64.08,36.36,65.94,99.42,39.62,18.44,-999.0,15.04,21.99,23.82,-999.0
