Year,CONUS
1900,45.64
1901,39.93
1902,37.41
1903,32.5
1904,31.26
1905,40.37
1906,38.83
1907,33.95
1908,35.64
1909,38.67
1910,36.07
1911,45.2
1912,38.2
1913,40.86
1914,42.49
1915,32.3
1916,42.02
1917,30.79
1918,37.98
1919,42.76
1920,34.07
1921,49.44
1922,39.8
1923,37.94
1924,31.77
1925,42.82
1926,39.97
1927,36.4
1928,35.76
1929,38.14
1930,38.5
1931,45.86
1932,38.95
1933,46.28
1934,47.46
1935,43.58
1936,49.43
1937,45.92
1938,43.61
1939,46.02
1940,37.42
1941,47.02
1942,41.56
1943,44.38
1944,40.17
1945,36.93
1946,35.56
1947,40.94
1948,36.33
1949,43.49
1950,31.27
1951,35.04
1952,39.65
1953,40.84
1954,44.14
1955,44.3
1956,37.32
1957,38.88
1958,37.71
1959,44.94
1960,35.1
1961,34.49
1962,36.05
1963,37.29
1964,39.18
1965,36.17
1966,34.77
1967,28.36
1968,36.52
1969,36.71
1970,40.92
1971,37.38
1972,35.2
1973,39.51
1974,32.75
1975,39.3
1976,27.52
1977,42.46
1978,39.77
1979,33.88
1980,42.41
1981,37.37
1982,36.3
1983,41.69
1984,35.2
1985,35.67
1986,41.76
1987,40.46
1988,39.57
1989,37.71
1990,40.82
1991,47.61
1992,29.32
1993,39.85
1994,37.26
1995,43.82
1996,38.17
1997,35.78
1998,47.95
1999,40.45
2000,41.14
2001,41.62
2002,48.73
2003,39.01
2004,37.51
2005,45.65
2006,42.56
2007,45.54
2008,36.2
2009,34.51
2010,49.53
2011,46.65
2012,44.81
2013,41.55
2014,37.23
2015,44.06
2016,48.55
2017,39.69
2018,53.38
2019,45.08
2020,44.97
2021,47.04
2022,47.04
2023,39.25
2024,44.83
