Year,CONUS
1900,0.32
1901,0.23
1902,0.26
1903,0.14
1904,0.11
1905,0.15
1906,0.1
1907,0.16
1908,0.09
1909,0.17
1910,0.14
1911,0.2
1912,0.16
1913,0.27
1914,0.21
1915,0.11
1916,0.14
1917,0.36
1918,0.3
1919,0.1
1920,0.1
1921,0.27
1922,0.17
1923,0.14
1924,0.14
1925,0.29
1926,0.11
1927,0.1
1928,0.09
1929,0.13
1930,0.51
1931,0.25
1932,0.19
1933,0.29
1934,1.36
1935,0.16
1936,1.22
1937,0.23
1938,0.11
1939,0.15
1940,0.13
1941,0.1
1942,0.12
1943,0.21
1944,0.21
1945,0.09
1946,0.1
1947,0.16
1948,0.18
1949,0.06
1950,0.04
1951,0.19
1952,0.28
1953,0.16
1954,0.41
1955,0.08
1956,0.1
1957,0.04
1958,0.05
1959,0.02
1960,0.05
1961,0.01
1962,0.03
1963,0.06
1964,0.17
1965,0.02
1966,0.11
1967,0.02
1968,0.04
1969,0.27
1970,0.17
1971,0.02
1972,0.08
1973,0.04
1974,0.05
1975,0.06
1976,0.05
1977,0.11
1978,0.18
1979,0.07
1980,0.88
1981,0.29
1982,0.06
1983,0.12
1984,0.09
1985,0.07
1986,0.15
1987,0.06
1988,0.11
1989,0.05
1990,0.06
1991,0.03
1992,0.09
1993,0.1
1994,0.1
1995,0.16
1996,0.13
1997,0.11
1998,0.63
1999,0.25
2000,0.23
2001,0.13
2002,0.11
2003,0.17
2004,0.08
2005,0.14
2006,0.34
2007,0.18
2008,0.13
2009,0.25
2010,0.73
2011,1.42
2012,0.43
2013,0.13
2014,0.09
2015,0.23
2016,0.34
2017,0.12
2018,0.2
2019,0.42
2020,0.38
2021,0.18
2022,0.76
2023,1.35
2024,0.53
