Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1980,46.96,45.69,47.02,54.07,64.05,59.17,52.69,44.02,56.77
1981,47.14,46.26,46.77,53.95,63.53,57.66,53.9,45.11,56.32
1982,49.88,42.41,44.24,54.83,64.05,59.35,51.23,44.85,53.42
1983,49.84,44.87,46.41,56.07,64.24,59.55,54.09,46.19,56.84
1984,48.94,42.05,44.0,54.93,64.2,59.76,51.15,45.23,54.69
1985,50.37,37.6,40.34,56.57,66.68,63.59,50.95,42.83,52.44
1986,47.44,42.24,45.52,55.22,65.87,61.42,51.09,43.6,54.27
1987,47.93,45.76,49.15,54.18,62.96,58.64,53.27,45.45,57.79
1988,47.41,44.82,48.5,53.12,63.83,57.48,53.86,44.2,57.84
1989,48.74,44.89,47.11,54.04,63.92,59.92,53.53,43.99,56.01
1990,50.36,47.02,47.98,56.56,65.7,61.28,54.19,46.68,57.21
1991,49.04,42.4,47.46,54.13,63.17,59.27,52.55,42.38,58.49
1992,47.3,43.76,46.22,53.61,63.17,58.97,52.5,43.62,56.96
1993,47.63,41.17,45.66,52.27,62.75,59.98,50.97,41.71,55.68
1994,49.78,45.33,45.27,56.05,65.02,59.74,52.06,48.52,53.33
1995,48.22,43.65,48.1,52.67,63.16,58.51,54.97,42.36,59.3
1996,47.61,41.15,45.54,52.24,62.89,57.79,52.33,43.23,55.85
1997,47.49,45.31,47.34,53.6,63.32,58.4,53.36,44.98,56.74
1998,50.38,47.89,48.19,58.0,67.75,61.94,54.7,48.99,55.08
1999,50.99,46.83,48.59,56.64,65.14,60.38,55.21,47.4,58.92
2000,48.7,42.35,44.26,54.89,63.89,58.58,51.53,46.29,54.06
2001,51.28,47.58,48.44,56.3,64.43,59.98,55.83,48.54,58.78
2002,49.08,43.28,46.49,54.75,64.76,60.6,52.54,44.37,56.74
2003,50.04,43.91,47.35,55.19,65.19,61.03,54.89,45.75,57.94
2004,50.18,46.16,46.28,57.02,66.8,61.39,52.21,48.86,54.8
2005,51.79,47.15,46.06,57.33,66.43,62.25,54.86,48.74,56.26
2006,50.03,43.21,46.5,53.72,63.33,58.95,52.21,45.0,56.0
2007,51.55,46.33,45.84,57.81,66.09,62.3,55.33,48.25,56.26
2008,48.92,45.56,48.14,54.59,62.99,58.45,54.48,46.38,58.77
2009,49.6,45.29,46.64,55.01,64.23,60.19,53.17,47.67,57.01
2010,50.27,45.32,46.76,56.29,65.59,61.19,54.37,46.62,56.36
2011,52.3,46.16,47.6,55.61,63.84,60.34,53.91,47.88,57.01
2012,49.52,45.56,48.47,53.56,63.59,58.53,55.5,45.38,59.2
2013,48.98,45.1,46.62,54.53,64.44,59.12,52.9,45.9,56.12
2014,49.59,44.24,48.63,52.7,63.54,59.18,54.99,43.38,59.49
2015,52.27,48.13,47.91,58.07,66.92,61.79,55.45,50.45,57.91
2016,52.07,48.84,48.27,59.8,68.31,62.88,56.29,51.06,57.63
2017,52.05,45.36,46.93,56.79,65.84,61.06,56.11,47.28,57.78
2018,49.2,43.04,46.72,54.81,65.37,62.04,53.33,43.36,57.43
2019,49.08,42.45,44.9,55.57,65.92,62.04,53.35,44.66,55.9
2020,51.11,44.81,48.55,56.05,66.19,62.37,55.79,45.25,59.76
2021,52.08,48.83,48.13,57.29,65.41,60.91,56.07,49.49,58.32
2022,51.0,45.44,48.1,55.04,64.49,60.1,53.49,47.31,57.58
2023,51.32,47.13,47.73,56.63,65.99,60.45,55.45,48.7,56.99
2024,52.28,49.02,48.57,58.68,68.13,62.4,56.11,51.18,58.36
