Year,CONUS
1900,17.12
1901,17.1
1902,15.77
1903,12.34
1904,8.18
1905,15.42
1906,13.35
1907,12.88
1908,12.23
1909,15.54
1910,12.73
1911,17.59
1912,15.12
1913,15.73
1914,16.69
1915,13.3
1916,17.52
1917,11.76
1918,13.41
1919,14.4
1920,10.8
1921,18.1
1922,14.45
1923,13.99
1924,14.53
1925,17.92
1926,15.84
1927,13.68
1928,14.29
1929,13.04
1930,17.02
1931,21.3
1932,17.76
1933,19.1
1934,24.02
1935,18.55
1936,24.49
1937,18.18
1938,16.77
1939,17.33
1940,14.21
1941,19.9
1942,15.45
1943,19.89
1944,15.68
1945,14.21
1946,12.81
1947,16.23
1948,13.1
1949,17.04
1950,9.75
1951,14.75
1952,18.41
1953,18.09
1954,19.58
1955,17.39
1956,12.41
1957,14.62
1958,14.52
1959,15.26
1960,12.06
1961,9.87
1962,12.42
1963,13.32
1964,15.69
1965,11.44
1966,13.33
1967,8.91
1968,13.73
1969,14.94
1970,15.55
1971,11.15
1972,11.07
1973,12.68
1974,10.18
1975,12.2
1976,7.55
1977,17.67
1978,15.35
1979,11.77
1980,20.09
1981,15.24
1982,13.51
1983,16.77
1984,11.0
1985,12.94
1986,17.18
1987,16.01
1988,18.21
1989,14.28
1990,17.15
1991,19.02
1992,10.74
1993,18.37
1994,14.16
1995,19.31
1996,15.22
1997,14.83
1998,22.68
1999,19.29
2000,18.15
2001,18.11
2002,19.22
2003,16.63
2004,13.16
2005,19.06
2006,19.27
2007,17.99
2008,14.84
2009,14.54
2010,26.21
2011,24.45
2012,20.45
2013,16.35
2014,14.37
2015,18.45
2016,23.08
2017,16.79
2018,21.99
2019,18.86
2020,19.01
2021,18.29
2022,22.53
2023,17.97
2024,20.45
