Year,CONUS
1900,27.92
1901,31.4
1902,30.19
1903,30.28
1904,32.25
1905,30.78
1906,26.67
1907,24.03
1908,21.92
1909,30.86
1910,27.83
1911,24.39
1912,32.62
1913,27.13
1914,30.14
1915,25.71
1916,34.33
1917,33.91
1918,29.2
1919,27.88
1920,29.3
1921,19.62
1922,28.1
1923,22.79
1924,33.13
1925,25.14
1926,27.2
1927,25.11
1928,20.4
1929,34.24
1930,29.1
1931,15.14
1932,30.65
1933,20.94
1934,22.1
1935,26.15
1936,34.15
1937,34.41
1938,22.4
1939,21.42
1940,34.76
1941,24.48
1942,27.53
1943,25.8
1944,25.69
1945,29.12
1946,18.19
1947,29.59
1948,33.11
1949,28.13
1950,31.11
1951,32.33
1952,26.2
1953,18.12
1954,20.05
1955,33.88
1956,26.21
1957,23.54
1958,30.23
1959,25.95
1960,36.84
1961,24.33
1962,30.34
1963,34.02
1964,25.01
1965,26.99
1966,31.03
1967,25.53
1968,29.09
1969,31.8
1970,30.04
1971,30.41
1972,31.65
1973,25.46
1974,24.39
1975,29.5
1976,26.37
1977,32.89
1978,43.44
1979,35.84
1980,30.13
1981,22.26
1982,31.71
1983,29.63
1984,25.73
1985,39.4
1986,23.17
1987,19.59
1988,28.35
1989,34.66
1990,18.35
1991,25.09
1992,21.67
1993,32.33
1994,27.94
1995,31.19
1996,35.37
1997,29.16
1998,19.68
1999,18.13
2000,30.28
2001,25.17
2002,22.39
2003,29.78
2004,24.98
2005,27.68
2006,16.93
2007,32.92
2008,31.53
2009,31.25
2010,34.66
2011,28.56
2012,17.96
2013,34.88
2014,37.65
2015,28.96
2016,24.47
2017,25.85
2018,31.88
2019,34.59
2020,21.83
2021,24.01
2022,32.47
2023,20.54
2024,20.49
