Year,CONUS
1930,6.08
1931,6.52
1932,7.41
1933,6.49
1934,6.19
1935,7.3
1936,6.42
1937,7.38
1938,7.26
1939,6.24
1940,7.02
1941,7.5
1942,7.77
1943,6.31
1944,7.45
1945,8.09
1946,7.76
1947,7.03
1948,7.3
1949,7.1
1950,7.56
1951,7.46
1952,6.23
1953,6.69
1954,6.15
1955,6.41
1956,5.66
1957,8.34
1958,7.1
1959,7.39
1960,6.84
1961,7.59
1962,6.84
1963,5.67
1964,7.28
1965,7.06
1966,6.64
1967,7.09
1968,7.18
1969,7.61
1970,7.08
1971,7.1
1972,7.58
1973,9.03
1974,7.4
1975,7.94
1976,6.29
1977,7.39
1978,7.07
1979,8.55
1980,6.56
1981,7.02
1982,8.29
1983,8.61
1984,7.68
1985,7.48
1986,7.58
1987,7.02
1988,6.02
1989,7.36
1990,8.38
1991,8.39
1992,7.63
1993,7.85
1994,7.79
1995,8.2
1996,8.61
1997,7.72
1998,8.59
1999,7.18
2000,7.02
2001,7.46
2002,7.72
2003,7.66
2004,8.53
2005,7.36
2006,7.76
2007,7.56
2008,8.1
2009,8.51
2010,7.98
2011,7.84
2012,6.63
2013,8.32
2014,7.94
2015,9.19
2016,7.87
2017,8.36
2018,9.3
2019,9.06
2020,8.06
2021,7.93
2022,7.44
2023,7.36
2024,8.46
