Year,CONUS
1930,29.7
1931,16.85
1932,31.82
1933,22.6
1934,21.94
1935,26.66
1936,34.11
1937,34.76
1938,23.04
1939,21.92
1940,34.45
1941,24.27
1942,27.58
1943,26.04
1944,26.84
1945,28.9
1946,18.82
1947,29.63
1948,33.0
1949,29.72
1950,31.33
1951,32.59
1952,27.25
1953,17.98
1954,20.37
1955,34.84
1956,26.99
1957,24.05
1958,29.19
1959,26.04
1960,35.97
1961,24.29
1962,29.94
1963,32.42
1964,26.46
1965,27.51
1966,30.84
1967,25.89
1968,29.09
1969,32.12
1970,29.91
1971,31.04
1972,32.25
1973,25.58
1974,24.31
1975,30.38
1976,26.17
1977,31.81
1978,42.6
1979,35.39
1980,29.25
1981,21.72
1982,32.07
1983,29.5
1984,26.43
1985,39.54
1986,22.87
1987,20.52
1988,28.55
1989,34.3
1990,19.52
1991,25.15
1992,22.66
1993,32.69
1994,27.69
1995,30.27
1996,35.49
1997,29.28
1998,20.36
1999,17.92
2000,29.99
2001,25.61
2002,23.31
2003,29.05
2004,25.24
2005,27.27
2006,18.08
2007,32.8
2008,30.75
2009,31.14
2010,33.49
2011,28.8
2012,18.56
2013,34.44
2014,36.15
2015,28.27
2016,24.1
2017,26.14
2018,30.68
2019,34.78
2020,22.23
2021,23.93
2022,32.5
2023,21.69
2024,20.57
