Year,CONUS
1950,45.9
1951,54.6
1952,67.02
1953,68.5
1954,65.83
1955,68.05
1956,61.88
1957,55.31
1958,53.79
1959,66.47
1960,57.04
1961,55.09
1962,57.4
1963,59.98
1964,58.16
1965,51.94
1966,55.93
1967,45.27
1968,52.75
1969,54.47
1970,61.65
1971,54.45
1972,52.58
1973,56.54
1974,50.05
1975,54.53
1976,48.9
1977,60.76
1978,58.19
1979,48.95
1980,63.55
1981,52.77
1982,48.28
1983,62.18
1984,54.08
1985,52.07
1986,56.46
1987,61.94
1988,66.85
1989,50.29
1990,56.03
1991,60.52
1992,38.67
1993,51.52
1994,51.88
1995,56.39
1996,49.12
1997,49.21
1998,60.87
1999,57.58
2000,53.35
2001,56.01
2002,66.57
2003,51.08
2004,44.06
2005,61.79
2006,58.77
2007,63.89
2008,50.74
2009,45.0
2010,66.37
2011,62.59
2012,65.88
2013,52.4
2014,47.82
2015,55.63
2016,63.3
2017,54.91
2018,65.29
2019,60.16
2020,60.95
2021,59.22
2022,64.11
2023,56.94
2024,63.45
