Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1950,2.37,3.05,5.44,0.06,1.74,0.11,1.16,3.0,4.11,2.43,1.82,0.0,2.51,3.21,1.63,2.52,5.75,1.87,1.95,1.73,0.99,0.6,1.87,5.23,0.08,1.98,0.75,1.07,1.42,1.76,0.25,0.05,0.7,1.38,2.61,1.1,1.14,0.63,2.18,0.65,2.91,2.24,0.0,1.2,0.68,0.94,1.14,0.88,0.04
1951,3.02,3.6,3.49,1.05,1.19,0.72,1.76,2.0,4.04,2.42,1.71,0.08,2.01,1.06,3.09,3.61,3.56,1.27,1.86,2.89,0.4,1.09,1.92,5.25,0.0,1.35,0.42,1.1,1.31,1.8,0.0,0.04,0.33,0.48,2.14,0.49,0.41,0.51,1.68,0.61,4.12,1.49,0.15,0.75,0.33,0.81,0.83,0.3,0.0
1952,3.49,2.46,3.25,0.16,1.43,0.2,3.56,3.0,4.25,2.77,1.62,0.15,0.83,1.53,0.24,2.08,5.51,2.05,3.06,1.29,0.27,1.07,0.91,1.55,0.17,2.3,0.32,1.07,1.24,3.63,0.0,0.03,1.14,0.43,1.13,0.11,0.86,0.98,2.91,0.15,2.07,2.41,0.0,1.51,1.86,0.12,1.32,0.39,0.13
1953,2.75,3.34,3.7,0.13,0.76,0.06,1.95,3.0,5.69,3.67,0.61,0.0,0.51,0.38,0.79,1.49,6.78,2.24,1.68,1.16,0.43,1.79,0.76,5.28,0.7,1.78,0.49,0.67,1.84,1.77,0.0,0.0,0.81,0.33,2.22,0.57,1.25,4.79,2.88,0.81,2.54,2.87,0.0,0.73,0.83,0.76,1.09,0.92,0.05
1954,2.5,1.33,2.25,0.44,1.52,0.05,2.93,2.0,3.04,1.17,1.69,0.15,1.35,0.67,0.83,1.7,3.21,3.11,0.73,2.3,1.55,0.88,1.51,3.35,0.08,2.93,0.53,0.77,2.96,2.18,0.13,0.0,0.74,0.63,1.18,0.88,1.63,4.31,2.13,0.66,3.4,1.56,0.0,1.64,0.47,0.59,1.18,2.0,0.02
1955,2.46,3.53,2.85,0.21,1.7,0.48,5.37,2.0,2.98,2.31,0.65,0.07,1.63,1.45,1.3,2.7,7.05,3.29,3.18,0.72,0.42,1.04,1.82,4.29,0.15,2.86,0.47,0.4,0.6,2.99,0.25,0.25,1.37,0.88,2.04,0.97,1.46,4.31,2.63,0.25,2.79,1.7,0.21,1.68,0.9,1.24,0.7,0.78,0.06
1956,3.43,2.75,2.61,0.09,1.05,0.15,0.49,2.0,3.23,2.93,0.64,0.15,0.9,1.7,0.24,2.34,4.47,0.68,1.66,0.0,0.46,0.72,1.36,3.97,0.19,2.05,0.56,0.44,0.6,0.93,0.12,0.03,0.37,0.92,0.35,0.94,0.59,0.63,2.88,0.3,3.13,1.64,0.0,1.02,0.39,1.07,0.87,1.1,0.03
1957,2.4,4.68,6.33,0.07,1.06,0.55,0.86,0.0,3.78,3.62,0.94,0.0,1.71,2.43,1.22,3.12,6.11,0.36,1.27,0.0,0.4,1.26,2.05,4.51,0.23,2.26,1.08,1.05,0.57,0.24,0.0,0.06,0.25,1.12,3.78,0.66,0.47,0.0,2.32,0.37,4.9,4.41,0.17,1.33,0.52,0.38,0.67,0.64,0.06
1958,2.16,2.34,4.84,0.1,1.58,0.34,2.02,3.0,3.66,2.66,1.58,0.0,1.9,1.67,1.58,1.38,4.08,1.74,2.64,0.22,0.84,0.6,3.0,3.36,0.07,2.85,0.28,0.94,0.83,2.16,0.25,0.0,0.62,0.87,1.52,0.88,0.82,2.01,2.79,0.36,1.44,2.1,0.17,1.3,0.07,0.48,0.83,0.61,0.07
1959,3.31,2.27,2.32,0.25,1.02,0.04,1.94,3.0,5.77,3.21,1.8,0.24,1.55,1.93,1.5,1.82,4.3,1.72,1.82,0.72,0.91,1.31,1.47,2.62,0.14,2.56,0.37,0.87,1.47,1.94,0.06,0.0,1.15,1.76,2.86,0.51,0.59,0.74,4.93,0.28,1.92,3.17,0.0,1.93,0.49,1.29,1.68,0.67,0.05
