Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1964,6.92,-999,-999,21.35,15.31,1.96,4.66,1.18,4.96,8.65,19.76,21.76,8.04,1.79,7.54,8.17,6.29,12.5,18.48,7.03,6.67,5.21,4.04,5.71,9.19,20.54,2.6,16.03,3.84,3.92,6.37,8.65,0.9,0.42,3.9,7.03,10.65,7.64,6.63,8.75,21.98,3.81,17.1,-999,0.78,8.86,4.33,5.76,5.0,6.27,1.43
1965,8.58,-999,-999,14.57,12.64,3.11,5.22,2.91,5.03,4.67,15.72,13.7,9.94,0.96,10.74,8.79,9.01,10.58,15.2,4.66,6.1,3.72,4.77,6.68,12.49,13.29,1.63,12.51,2.92,6.54,4.87,4.03,1.94,0.69,3.38,6.76,8.31,5.0,5.15,4.33,13.41,3.36,14.39,-999,1.05,7.39,3.92,5.34,7.43,4.67,1.15
1966,8.65,-999,-999,19.13,13.51,1.81,4.22,1.46,10.18,7.29,17.72,16.43,6.17,0.73,8.85,9.22,4.1,13.18,19.27,8.85,6.11,7.35,4.22,5.42,8.85,16.81,0.95,13.33,3.2,3.88,8.23,10.5,1.65,0.29,5.51,7.08,6.43,6.2,6.15,10.74,13.52,3.61,13.1,-999,0.96,9.68,5.68,5.01,5.21,5.55,0.7
1967,8.93,-999,-999,16.0,14.97,2.83,5.69,1.81,11.82,12.58,15.01,15.51,6.8,1.1,9.55,7.65,8.6,12.79,17.14,10.61,11.08,7.54,5.44,3.54,11.83,15.38,1.65,12.6,1.7,4.76,6.06,10.16,1.85,0.38,6.44,6.18,9.11,4.56,7.82,12.29,13.11,3.03,15.98,-999,0.85,8.87,4.7,7.14,6.69,7.78,0.97
1968,7.63,-999,-999,12.59,19.84,1.55,4.32,0.87,12.75,8.68,15.91,11.39,6.98,1.31,8.92,10.83,7.19,10.96,16.48,11.19,8.6,7.16,5.1,7.08,11.76,16.77,1.69,10.45,2.89,5.38,11.38,10.34,1.45,0.45,6.28,6.92,11.27,6.52,7.46,11.97,11.52,4.36,10.82,-999,0.81,8.17,4.48,6.76,8.28,6.37,0.97
1969,7.86,-999,-999,17.96,13.56,1.51,7.93,2.37,15.66,11.54,19.82,14.66,7.79,0.72,10.4,10.45,8.33,10.14,16.5,12.54,9.29,12.37,4.46,4.48,11.73,16.47,1.73,14.93,2.28,4.94,13.94,12.44,2.63,0.79,6.94,7.32,9.36,6.24,7.33,15.67,14.78,3.32,13.9,-999,1.45,10.87,6.96,4.76,4.63,7.35,0.9
1970,8.91,-999,-999,16.36,15.55,1.65,6.94,1.31,7.82,10.76,16.44,13.94,8.07,0.76,10.55,7.51,6.39,12.34,15.81,9.75,10.09,9.16,5.45,5.39,12.18,15.91,1.57,11.09,2.87,4.03,10.82,8.41,1.32,0.45,4.69,6.58,7.11,7.12,8.34,12.7,12.39,3.47,13.83,-999,1.08,7.27,5.11,6.66,7.29,8.71,0.86
1971,8.58,-999,-999,18.98,11.04,2.17,3.15,1.18,12.24,16.65,13.45,17.37,7.3,1.15,8.23,8.85,7.59,11.66,16.39,8.32,14.86,5.61,4.61,6.08,8.27,18.38,1.48,15.29,3.83,4.4,8.22,14.82,2.1,0.63,6.13,6.4,9.91,7.02,7.29,11.03,16.54,4.82,12.95,-999,0.65,12.75,5.88,6.91,6.1,6.93,1.53
1972,7.48,-999,-999,16.95,14.62,3.59,3.15,1.19,17.76,12.89,15.15,14.07,8.56,0.58,9.95,10.5,7.14,16.01,20.14,15.55,15.96,9.84,6.59,5.29,9.76,19.51,1.24,13.72,1.92,4.75,11.09,15.24,3.2,0.22,8.88,7.8,8.04,6.46,9.41,20.39,13.56,3.81,16.45,-999,1.09,15.03,4.75,7.69,7.32,10.23,0.54
1973,6.44,-999,-999,21.41,22.71,0.89,7.14,1.46,17.88,14.4,17.57,17.46,11.38,0.93,11.93,8.66,11.5,12.78,23.51,13.61,10.69,11.75,5.05,6.08,15.96,23.28,1.63,14.48,3.0,6.81,14.42,14.18,1.36,0.17,8.16,7.08,14.17,6.58,8.45,14.33,15.74,3.5,19.13,-999,0.81,10.43,10.15,5.12,7.74,7.37,1.9
1974,8.61,-999,-999,17.52,17.29,1.44,5.21,1.05,12.25,10.72,14.49,14.3,7.17,0.91,9.4,7.91,6.38,11.65,21.86,10.79,10.37,8.56,4.24,3.8,11.65,21.75,2.03,13.59,2.06,2.31,10.47,11.76,2.52,0.19,6.33,6.65,12.22,6.69,7.55,12.27,12.85,1.76,16.75,-999,0.54,9.1,6.76,7.39,4.86,8.56,0.8
