Year,CONUS
1950,30.53
1951,32.14
1952,27.3
1953,17.74
1954,19.95
1955,34.61
1956,26.43
1957,24.1
1958,28.23
1959,25.7
1960,35.53
1961,24.16
1962,29.33
1963,31.75
1964,26.52
1965,27.02
1966,30.36
1967,25.82
1968,28.83
1969,31.49
1970,29.49
1971,30.87
1972,31.7
1973,25.44
1974,24.26
1975,30.07
1976,25.6
1977,30.88
1978,41.34
1979,34.86
1980,28.73
1981,21.0
1982,31.62
1983,28.89
1984,26.03
1985,39.0
1986,22.42
1987,20.57
1988,28.17
1989,33.65
1990,19.57
1991,24.55
1992,22.3
1993,31.98
1994,26.76
1995,29.11
1996,34.3
1997,29.11
1998,20.27
1999,17.44
2000,29.53
2001,25.46
2002,23.3
2003,28.07
2004,24.71
2005,26.09
2006,17.97
2007,31.82
2008,29.72
2009,30.02
2010,32.26
2011,28.2
2012,18.29
2013,33.05
2014,34.39
2015,27.28
2016,23.49
2017,25.12
2018,29.17
2019,33.3
2020,21.99
2021,23.25
2022,31.77
2023,21.42
2024,19.67
