Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1950,-999,-999,-999,0.01,0.07,2.25,7.47,0.09,0.0,0.0,1.0,0.08,0.01,0.01,0.03,0.0,0.04,0.0,0.04,0.0,0.0,-999,0.0,0.0,0.02,0.13,0.0,0.01,0.0,0.0,0.0,0.04,0.0,1.82,0.0,0.0,0.18,0.0,0.0,-999,0.12,0.0,0.05,0.64,0.0,0.01,0.0,0.0,0.02,0.0,-999.0
1951,-999,-999,-999,0.01,0.14,4.13,7.09,0.0,0.0,0.0,1.4,0.06,0.0,0.01,0.0,0.0,0.15,0.0,1.29,0.0,0.0,-999,0.0,0.0,0.03,0.42,0.0,0.05,0.0,0.0,0.0,0.04,0.25,1.88,0.0,0.0,1.08,0.0,0.0,-999,0.08,0.0,0.07,1.97,0.15,0.03,0.0,0.0,0.01,0.0,-999.0
1952,-999,-999,-999,0.04,0.18,5.45,8.39,0.16,0.0,0.67,1.68,0.2,0.02,0.12,0.2,0.02,1.33,0.0,0.25,0.0,0.29,-999,0.13,0.0,0.12,0.21,0.0,0.41,0.0,0.04,0.0,0.14,0.15,1.79,0.08,0.0,2.21,0.0,0.05,-999,0.45,0.0,0.1,1.63,0.0,0.48,0.0,0.0,0.02,0.0,-999.0
1953,-999,-999,-999,0.4,0.38,4.02,8.74,0.03,0.0,0.0,1.03,0.04,0.02,0.01,0.05,0.03,0.72,0.09,0.14,0.0,0.01,-999,0.0,0.0,0.63,0.61,0.0,0.1,0.0,0.11,0.0,0.04,0.13,6.58,0.0,0.0,2.35,0.0,0.0,-999,0.16,0.0,0.1,2.45,0.0,0.05,0.0,0.0,0.0,0.0,0.0
1954,-999,-999,-999,0.81,1.38,3.89,7.93,0.2,0.0,0.0,1.79,0.19,0.08,0.01,0.31,0.04,2.03,0.51,0.18,0.0,0.0,-999,0.0,0.0,1.65,0.22,0.0,0.04,0.0,0.03,0.0,0.04,0.0,3.24,0.0,0.0,4.99,0.0,0.0,-999,0.23,0.01,1.04,2.39,0.0,0.02,0.0,0.0,0.0,0.0,0.0
1955,-999,-999,-999,0.01,0.04,2.6,7.65,0.0,0.0,0.0,1.07,0.04,0.23,0.01,0.0,0.0,0.31,0.0,0.07,0.0,0.11,-999,0.01,0.08,0.17,0.1,0.0,0.07,0.0,0.38,0.0,0.04,0.0,1.36,0.02,0.0,0.17,0.0,0.0,-999,0.14,0.08,0.03,0.69,0.47,0.11,0.0,0.0,0.04,0.0,0.0
1956,-999,-999,-999,0.01,0.16,3.85,7.48,0.0,0.0,0.0,1.08,0.13,0.01,0.01,0.0,0.0,0.54,0.0,0.29,0.0,0.0,-999,0.0,0.0,0.19,0.08,0.0,0.02,0.0,0.0,0.0,0.04,0.0,4.05,0.0,0.0,2.03,0.13,0.0,-999,0.04,0.0,0.05,1.75,0.03,0.04,0.0,0.0,0.0,0.0,0.0
1957,-999,-999,-999,0.02,0.03,6.02,9.13,0.0,0.0,0.0,1.41,0.04,0.03,0.01,0.0,0.0,0.02,0.0,0.03,0.0,0.2,-999,0.0,0.0,0.04,0.12,0.0,0.06,0.0,0.0,0.0,0.05,0.17,2.69,0.04,0.0,0.71,0.0,0.0,-999,0.09,0.0,0.03,1.42,0.05,0.06,0.0,0.0,0.0,0.0,0.0
1958,-999,-999,-999,0.01,0.03,10.18,9.88,0.0,0.0,0.0,1.96,0.06,0.0,0.01,0.0,0.0,0.01,0.0,0.03,0.0,0.0,-999,0.0,0.0,0.03,0.11,0.0,0.02,0.0,0.0,0.0,0.05,0.2,3.76,0.0,0.0,0.74,0.0,0.0,-999,0.17,0.0,0.03,1.3,0.05,0.03,0.0,0.0,0.0,0.0,0.0
1959,-999,-999,-999,0.01,0.03,9.44,10.8,0.0,0.0,0.0,1.05,0.08,0.0,0.01,0.0,0.0,0.03,0.0,0.03,0.0,0.18,-999,0.0,0.0,0.03,0.08,0.0,0.02,0.0,0.0,0.0,0.05,0.0,2.73,0.05,0.0,0.06,0.0,0.0,-999,0.13,0.0,0.03,0.81,0.05,0.5,0.0,0.0,0.0,0.0,0.0
1960,-999,-999,-999,0.02,0.04,6.98,10.51,0.0,0.0,0.0,2.18,0.04,0.01,0.12,0.0,0.0,0.01,0.0,0.29,0.0,0.0,-999,0.0,0.0,0.01,0.25,0.0,0.03,0.0,0.0,0.0,0.05,0.0,6.0,0.0,0.0,0.1,0.0,0.0,-999,0.07,0.0,0.03,0.81,0.13,0.02,0.0,0.0,0.0,0.0,0.0
1961,-999,-999,-999,0.01,0.03,5.98,11.2,0.0,0.0,0.0,2.04,0.06,0.0,0.01,0.0,0.0,0.01,0.0,0.15,0.0,0.0,-999,0.0,0.0,0.04,0.08,0.0,0.01,0.0,0.0,0.0,0.04,0.0,3.22,0.0,0.0,0.05,0.3,0.0,-999,0.04,0.0,0.03,0.44,0.01,0.02,0.0,0.04,0.0,0.0,0.0
1962,-999,-999,-999,0.05,0.03,4.68,7.93,0.0,0.0,0.0,1.6,0.06,0.0,0.01,0.0,0.0,0.02,0.0,0.02,0.0,0.0,-999,0.0,0.0,0.04,0.14,0.0,0.01,0.0,0.0,0.0,0.04,0.0,3.15,0.0,0.0,0.41,0.0,0.0,-999,0.02,0.0,0.05,0.94,0.01,0.02,0.0,0.0,0.0,0.0,0.0
1963,-999,-999,-999,0.05,0.06,5.15,8.25,0.0,0.0,0.0,2.02,0.1,0.0,0.01,0.0,0.0,0.1,0.0,0.28,0.0,0.0,-999,0.0,0.0,0.02,0.44,0.0,0.01,0.0,0.07,0.0,0.04,0.0,3.41,0.03,0.0,0.32,0.0,0.0,-999,0.28,0.03,0.03,0.71,0.13,0.02,0.0,0.0,0.0,0.0,0.0
