Folder,File name,Plain-language description,State/Region,Century,Emissions scenario,Season,Format,Date (file modified),Note
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Louisiana.ai,"Louisiana, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Louisiana,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),Adobe Illustrator source,7/8/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Louisiana.aix,"Louisiana, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Louisiana,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,7/8/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Louisiana.png,"Louisiana, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Louisiana,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,7/7/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_Louisiana.aix,"Louisiana, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Louisiana,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,7/8/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_Louisiana.png,"Louisiana, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Louisiana,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),PNG preview image,7/7/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Maine.aix,"Maine, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Maine,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,8/14/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Maine.png,"Maine, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Maine,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,PNG preview image,7/8/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Maine.aix,"Maine, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Maine,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,8/14/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Maine.png,"Maine, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Maine,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),PNG preview image,7/8/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_Maine.aix,"Maine, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Maine,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,8/14/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_Maine.png,"Maine, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Maine,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),PNG preview image,7/8/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Maine.aix,"Maine, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Maine,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,8/14/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Maine.png,"Maine, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Maine,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,7/8/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_Maine.aix,"Maine, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Maine,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,8/14/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_Maine.png,"Maine, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Maine,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),PNG preview image,7/8/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Maryland.aix,"Maryland, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Maryland,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,8/25/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Maryland.png,"Maryland, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Maryland,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,PNG preview image,7/8/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Maryland.aix,"Maryland, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Maryland,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,8/26/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Maryland.png,"Maryland, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Maryland,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),PNG preview image,7/9/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_Maryland.aix,"Maryland, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Maryland,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,8/26/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_Maryland.png,"Maryland, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Maryland,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),PNG preview image,7/9/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Maryland.aix,"Maryland, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Maryland,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,8/26/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Maryland.png,"Maryland, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Maryland,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,7/9/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_Maryland.aix,"Maryland, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Maryland,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,8/25/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_Maryland.png,"Maryland, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Maryland,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),PNG preview image,7/9/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Massachusetts.aix,"Massachusetts, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Massachusetts,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,8/14/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Massachusetts.png,"Massachusetts, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Massachusetts,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,PNG preview image,7/8/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Massachusetts.aix,"Massachusetts, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Massachusetts,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,8/14/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Massachusetts.png,"Massachusetts, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Massachusetts,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),PNG preview image,7/9/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_Massachusetts.aix,"Massachusetts, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Massachusetts,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,8/14/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_Massachusetts.png,"Massachusetts, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Massachusetts,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),PNG preview image,7/9/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Massachusetts.aix,"Massachusetts, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Massachusetts,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,8/14/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Massachusetts.png,"Massachusetts, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Massachusetts,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,7/9/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_Massachusetts.aix,"Massachusetts, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Massachusetts,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,8/14/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_Massachusetts.png,"Massachusetts, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Massachusetts,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),PNG preview image,7/9/25,
Mid-Century/Annual,MC_SSP245_MI_Annual_Precip_053025.ai,"Michigan, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Michigan,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,Adobe Illustrator source,5/30/25,
Mid-Century/Annual,MC_SSP245_MI_Annual_Precip_052725.aix,"Michigan, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Michigan,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,5/27/25,
Mid-Century/Annual,MC_SSP245_MI_Annual_Precip_052725.jpg,"Michigan, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Michigan,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,JPEG preview image,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_MI_SON_Precip_052725.aix,"Michigan, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Michigan,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_MI_SON_Precip_052725.jpg,"Michigan, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Michigan,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),JPEG preview image,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_MI_MAM_Precip_052725.aix,"Michigan, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Michigan,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_MI_MAM_Precip_052725.jpg,"Michigan, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Michigan,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),JPEG preview image,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_MI_JJA_Precip_052725.aix,"Michigan, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Michigan,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_MI_JJA_Precip_052725.jpg,"Michigan, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Michigan,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_MI_DJF_Precip_053025.ai,"Michigan, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Michigan,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),Adobe Illustrator source,5/30/25,
Mid-Century/Winter (DJF),MC_SSP245_MI_DJF_Precip_052725.aix,"Michigan, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Michigan,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_MI_DJF_Precip_052725.jpg,"Michigan, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Michigan,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),JPEG preview image,5/27/25,
Mid-Century/Annual,MC_SSP245_MN_Annual_Precip_053025.ai,"Minnesota, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Minnesota,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,Adobe Illustrator source,5/30/25,
Mid-Century/Annual,MC_SSP245_MN_Annual_Precip_052725.aix,"Minnesota, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Minnesota,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,5/27/25,
Mid-Century/Annual,MC_SSP245_MN_Annual_Precip_052725.jpg,"Minnesota, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Minnesota,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,JPEG preview image,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_MN_SON_Precip_052725.aix,"Minnesota, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Minnesota,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_MN_SON_Precip_052725.jpg,"Minnesota, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Minnesota,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),JPEG preview image,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_MN_MAM_Precip_053025.ai,"Minnesota, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Minnesota,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),Adobe Illustrator source,5/30/25,
Mid-Century/Spring (MAM),MC_SSP245_MN_MAM_Precip_052725.aix,"Minnesota, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Minnesota,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_MN_MAM_Precip_052725.jpg,"Minnesota, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Minnesota,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),JPEG preview image,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_MN_JJA_Precip_052725.aix,"Minnesota, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Minnesota,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_MN_JJA_Precip_052725.jpg,"Minnesota, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Minnesota,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_MN_DJF_Precip_052725.aix,"Minnesota, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Minnesota,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_MN_DJF_Precip_052725.jpg,"Minnesota, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Minnesota,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),JPEG preview image,5/27/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Mississippi.aix,"Mississippi, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Mississippi,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,7/8/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Mississippi.png,"Mississippi, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Mississippi,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,PNG preview image,7/7/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Mississippi.aix,"Mississippi, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Mississippi,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,7/8/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Mississippi.png,"Mississippi, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Mississippi,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),PNG preview image,7/7/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_Mississippi.aix,"Mississippi, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Mississippi,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,7/8/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_Mississippi.png,"Mississippi, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Mississippi,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),PNG preview image,7/7/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Mississippi.ai,"Mississippi, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Mississippi,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),Adobe Illustrator source,7/8/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Mississippi.aix,"Mississippi, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Mississippi,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,7/8/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_Mississippi.png,"Mississippi, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Mississippi,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,7/7/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_Mississippi.aix,"Mississippi, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Mississippi,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,7/8/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_Mississippi.png,"Mississippi, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Mississippi,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),PNG preview image,7/7/25,
Mid-Century/Annual,MC_SSP245_MO_Annual_Precip_053025.ai,"Missouri, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Missouri,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,Adobe Illustrator source,5/30/25,
Mid-Century/Annual,MC_SSP245_MO_Annual_Precip_052725.aix,"Missouri, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Missouri,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,5/27/25,
Mid-Century/Annual,MC_SSP245_MO_Annual_Precip_052725.jpg,"Missouri, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Missouri,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,JPEG preview image,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_MO_SON_Precip_052725.aix,"Missouri, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Missouri,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_MO_SON_Precip_052725.jpg,"Missouri, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Missouri,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),JPEG preview image,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_MO_MAM_Precip_053025.ai,"Missouri, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Missouri,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),Adobe Illustrator source,5/30/25,
Mid-Century/Spring (MAM),MC_SSP245_MO_MAM_Precip_052725.aix,"Missouri, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Missouri,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_MO_MAM_Precip_052725.jpg,"Missouri, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Missouri,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),JPEG preview image,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_MO_JJA_Precip_052725.aix,"Missouri, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Missouri,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_MO_JJA_Precip_052725.jpg,"Missouri, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Missouri,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_MO_DJF_Precip_052725.aix,"Missouri, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Missouri,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_MO_DJF_Precip_052725.jpg,"Missouri, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Missouri,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),JPEG preview image,5/27/25,
Mid-Century/Annual,MC_SSP245_NE_Annual_Precip_053025.ai,"Nebraska, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Nebraska,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,Adobe Illustrator source,5/30/25,
Mid-Century/Annual,MC_SSP245_NE_Annual_Precip_052725.aix,"Nebraska, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Nebraska,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,5/27/25,
Mid-Century/Annual,MC_SSP245_NE_Annual_Precip_052725.jpg,"Nebraska, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Nebraska,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,JPEG preview image,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_NE_SON_Precip_052725.aix,"Nebraska, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Nebraska,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_NE_SON_Precip_052725.jpg,"Nebraska, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Nebraska,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),JPEG preview image,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_NE_MAM_Precip_052725.aix,"Nebraska, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Nebraska,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_NE_MAM_Precip_052725.jpg,"Nebraska, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Nebraska,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),JPEG preview image,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_NE_JJA_Precip_052725.aix,"Nebraska, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Nebraska,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_NE_JJA_Precip_052725.jpg,"Nebraska, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Nebraska,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_NE_DJF_Precip_053025.ai,"Nebraska, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Nebraska,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),Adobe Illustrator source,5/30/25,
Mid-Century/Winter (DJF),MC_SSP245_NE_DJF_Precip_052725.aix,"Nebraska, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Nebraska,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_NE_DJF_Precip_052725.jpg,"Nebraska, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Nebraska,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),JPEG preview image,5/27/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_New Hampshire.aix,"New Hampshire, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",New Hampshire,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,8/14/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_New Hampshire.png,"New Hampshire, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",New Hampshire,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,PNG preview image,7/8/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_New Hampshire.aix,"New Hampshire, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",New Hampshire,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,8/14/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_New Hampshire.png,"New Hampshire, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",New Hampshire,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),PNG preview image,7/9/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_New Hampshire.aix,"New Hampshire, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",New Hampshire,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,8/14/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_New Hampshire.png,"New Hampshire, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",New Hampshire,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),PNG preview image,7/9/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_New Hampshire.aix,"New Hampshire, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",New Hampshire,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,8/14/25,
Mid-Century/Summer (JJA),MC_SSP245_Precip_Summer_New Hampshire.png,"New Hampshire, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",New Hampshire,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,7/9/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_New Hampshire.aix,"New Hampshire, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",New Hampshire,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,8/14/25,
Mid-Century/Winter (DJF),MC_SSP245_Precip_Winter_New Hampshire.png,"New Hampshire, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",New Hampshire,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),PNG preview image,7/9/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_New Jersey.aix,"New Jersey, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",New Jersey,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,8/25/25,
