Folder,File name,Plain-language description,State/Region,Century,Emissions scenario,Season,Format,Date (file modified),Note
Mid-Century/Summer (JJA),MC_SSP126_HI_JJA_Precip_070626.aix,"Hawaii, Mid-Century, Low emissions (SSP1-2.6), Summer (JJA)",Hawaii,Mid-Century,Low emissions (SSP1-2.6),Summer (JJA),ArcGIS AIX data file,7/6/26,
Mid-Century/Summer (JJA),MC_SSP126_HI_JJA_Precip_070626.jpg,"Hawaii, Mid-Century, Low emissions (SSP1-2.6), Summer (JJA)",Hawaii,Mid-Century,Low emissions (SSP1-2.6),Summer (JJA),JPEG preview image,7/6/26,
Mid-Century/Winter (DJF),MC_SSP126_HI_DJF_Precip_070626.aix,"Hawaii, Mid-Century, Low emissions (SSP1-2.6), Winter (DJF)",Hawaii,Mid-Century,Low emissions (SSP1-2.6),Winter (DJF),ArcGIS AIX data file,7/6/26,
Mid-Century/Winter (DJF),MC_SSP126_HI_DJF_Precip_070626.jpg,"Hawaii, Mid-Century, Low emissions (SSP1-2.6), Winter (DJF)",Hawaii,Mid-Century,Low emissions (SSP1-2.6),Winter (DJF),JPEG preview image,7/6/26,
Mid-Century/Annual,MC_SSP585_HI_Annual_Precip_070626.aix,"Hawaii, Mid-Century, Very high emissions (SSP5-8.5), Annual",Hawaii,Mid-Century,Very high emissions (SSP5-8.5),Annual,ArcGIS AIX data file,7/6/26,
Mid-Century/Annual,MC_SSP585_HI_Annual_Precip_070626.jpg,"Hawaii, Mid-Century, Very high emissions (SSP5-8.5), Annual",Hawaii,Mid-Century,Very high emissions (SSP5-8.5),Annual,JPEG preview image,7/6/26,
Mid-Century/Fall (SON),MC_SSP585_HI_SON_Precip_070626.aix,"Hawaii, Mid-Century, Very high emissions (SSP5-8.5), Fall (SON)",Hawaii,Mid-Century,Very high emissions (SSP5-8.5),Fall (SON),ArcGIS AIX data file,7/6/26,
Mid-Century/Fall (SON),MC_SSP585_HI_SON_Precip_070626.jpg,"Hawaii, Mid-Century, Very high emissions (SSP5-8.5), Fall (SON)",Hawaii,Mid-Century,Very high emissions (SSP5-8.5),Fall (SON),JPEG preview image,7/6/26,
Mid-Century/Spring (MAM),MC_SSP585_HI_MAM_Precip_070626.aix,"Hawaii, Mid-Century, Very high emissions (SSP5-8.5), Spring (MAM)",Hawaii,Mid-Century,Very high emissions (SSP5-8.5),Spring (MAM),ArcGIS AIX data file,7/6/26,
Mid-Century/Spring (MAM),MC_SSP585_HI_MAM_Precip_070626.jpg,"Hawaii, Mid-Century, Very high emissions (SSP5-8.5), Spring (MAM)",Hawaii,Mid-Century,Very high emissions (SSP5-8.5),Spring (MAM),JPEG preview image,7/6/26,
