state,scenario,period,lower,upper
Virginia,ssp126,end-year,2.2,7.7
,ssp245,end-year,4.1,9.8
,ssp585,end-year,7.7,15.8
,obs,,-2.6,3.2
Washington,ssp126,end-year,1.2,8.1
,ssp245,end-year,4.0,10.2
,ssp585,end-year,7.8,16.4
,obs,,-2.9,4.1
West Virginia,ssp126,end-year,2.3,8.1
,ssp245,end-year,4.2,10.2
,ssp585,end-year,7.9,16.4
,obs,,-2.9,3.4
Wisconsin,ssp126,end-year,2.3,10.1
,ssp245,end-year,5.0,12.3
,ssp585,end-year,9.9,20.3
,obs,,-4.2,5.4
Wyoming,ssp126,end-year,1.8,7.5
,ssp245,end-year,4.5,11.3
,ssp585,end-year,9.0,17.9
,obs,,-2.5,4.3
